day,hour,latitude,longitude,month,temperature_2m,time,year
11,23:00,13.0,77.600006,05,21.6,2023-05-11T23:00,2023
12,00:00,13.0,77.600006,05,21.2,2023-05-12T00:00,2023
12,01:00,13.0,77.600006,05,21.2,2023-05-12T01:00,2023
12,02:00,13.0,77.600006,05,22.9,2023-05-12T02:00,2023
12,03:00,13.0,77.600006,05,24.8,2023-05-12T03:00,2023
12,04:00,13.0,77.600006,05,26.8,2023-05-12T04:00,2023
12,05:00,13.0,77.600006,05,28.5,2023-05-12T05:00,2023
12,06:00,13.0,77.600006,05,29.4,2023-05-12T06:00,2023
12,07:00,13.0,77.600006,05,29.8,2023-05-12T07:00,2023
12,08:00,13.0,77.600006,05,30.1,2023-05-12T08:00,2023
12,09:00,13.0,77.600006,05,30.4,2023-05-12T09:00,2023
12,10:00,13.0,77.600006,05,30.5,2023-05-12T10:00,2023
12,11:00,13.0,77.600006,05,30.2,2023-05-12T11:00,2023
12,12:00,13.0,77.600006,05,29.6,2023-05-12T12:00,2023
12,13:00,13.0,77.600006,05,27.8,2023-05-12T13:00,2023
12,14:00,13.0,77.600006,05,26.6,2023-05-12T14:00,2023
12,15:00,13.0,77.600006,05,26.0,2023-05-12T15:00,2023
12,16:00,13.0,77.600006,05,25.2,2023-05-12T16:00,2023
12,17:00,13.0,77.600006,05,24.5,2023-05-12T17:00,2023
12,18:00,13.0,77.600006,05,23.9,2023-05-12T18:00,2023
12,19:00,13.0,77.600006,05,23.2,2023-05-12T19:00,2023
12,20:00,13.0,77.600006,05,22.6,2023-05-12T20:00,2023
12,21:00,13.0,77.600006,05,22.2,2023-05-12T21:00,2023
12,22:00,13.0,77.600006,05,21.7,2023-05-12T22:00,2023
12,23:00,13.0,77.600006,05,21.6,2023-05-12T23:00,2023
13,00:00,13.0,77.600006,05,21.2,2023-05-13T00:00,2023
13,01:00,13.0,77.600006,05,21.3,2023-05-13T01:00,2023
13,02:00,13.0,77.600006,05,22.4,2023-05-13T02:00,2023
13,03:00,13.0,77.600006,05,24.1,2023-05-13T03:00,2023
13,04:00,13.0,77.600006,05,25.9,2023-05-13T04:00,2023
13,05:00,13.0,77.600006,05,27.6,2023-05-13T05:00,2023
13,06:00,13.0,77.600006,05,28.9,2023-05-13T06:00,2023
13,07:00,13.0,77.600006,05,29.6,2023-05-13T07:00,2023
13,08:00,13.0,77.600006,05,30.2,2023-05-13T08:00,2023
13,09:00,13.0,77.600006,05,30.2,2023-05-13T09:00,2023
13,10:00,13.0,77.600006,05,28.8,2023-05-13T10:00,2023
13,11:00,13.0,77.600006,05,27.5,2023-05-13T11:00,2023
13,12:00,13.0,77.600006,05,26.7,2023-05-13T12:00,2023
13,13:00,13.0,77.600006,05,25.7,2023-05-13T13:00,2023
13,14:00,13.0,77.600006,05,25.1,2023-05-13T14:00,2023
13,15:00,13.0,77.600006,05,24.6,2023-05-13T15:00,2023
13,16:00,13.0,77.600006,05,24.1,2023-05-13T16:00,2023
13,17:00,13.0,77.600006,05,23.7,2023-05-13T17:00,2023
13,18:00,13.0,77.600006,05,23.2,2023-05-13T18:00,2023
13,19:00,13.0,77.600006,05,22.5,2023-05-13T19:00,2023
13,20:00,13.0,77.600006,05,22.0,2023-05-13T20:00,2023
13,21:00,13.0,77.600006,05,21.4,2023-05-13T21:00,2023
13,22:00,13.0,77.600006,05,21.0,2023-05-13T22:00,2023
13,23:00,13.0,77.600006,05,21.0,2023-05-13T23:00,2023
14,00:00,13.0,77.600006,05,21.1,2023-05-14T00:00,2023
14,01:00,13.0,77.600006,05,21.3,2023-05-14T01:00,2023
14,02:00,13.0,77.600006,05,22.1,2023-05-14T02:00,2023
14,03:00,13.0,77.600006,05,23.7,2023-05-14T03:00,2023
14,04:00,13.0,77.600006,05,25.8,2023-05-14T04:00,2023
14,05:00,13.0,77.600006,05,27.7,2023-05-14T05:00,2023
14,06:00,13.0,77.600006,05,29.2,2023-05-14T06:00,2023
14,07:00,13.0,77.600006,05,30.5,2023-05-14T07:00,2023
14,08:00,13.0,77.600006,05,31.5,2023-05-14T08:00,2023
14,09:00,13.0,77.600006,05,31.9,2023-05-14T09:00,2023
14,10:00,13.0,77.600006,05,31.7,2023-05-14T10:00,2023
14,11:00,13.0,77.600006,05,31.2,2023-05-14T11:00,2023
14,12:00,13.0,77.600006,05,30.2,2023-05-14T12:00,2023
14,13:00,13.0,77.600006,05,28.7,2023-05-14T13:00,2023
14,14:00,13.0,77.600006,05,27.2,2023-05-14T14:00,2023
14,15:00,13.0,77.600006,05,25.9,2023-05-14T15:00,2023
14,16:00,13.0,77.600006,05,25.2,2023-05-14T16:00,2023
14,17:00,13.0,77.600006,05,24.5,2023-05-14T17:00,2023
14,18:00,13.0,77.600006,05,24.1,2023-05-14T18:00,2023
14,19:00,13.0,77.600006,05,23.7,2023-05-14T19:00,2023
14,20:00,13.0,77.600006,05,23.0,2023-05-14T20:00,2023
14,21:00,13.0,77.600006,05,22.3,2023-05-14T21:00,2023
14,22:00,13.0,77.600006,05,21.7,2023-05-14T22:00,2023
14,23:00,13.0,77.600006,05,21.3,2023-05-14T23:00,2023
15,00:00,13.0,77.600006,05,20.9,2023-05-15T00:00,2023
15,01:00,13.0,77.600006,05,20.9,2023-05-15T01:00,2023
15,02:00,13.0,77.600006,05,22.4,2023-05-15T02:00,2023
15,03:00,13.0,77.600006,05,24.4,2023-05-15T03:00,2023
15,04:00,13.0,77.600006,05,26.5,2023-05-15T04:00,2023
15,05:00,13.0,77.600006,05,28.4,2023-05-15T05:00,2023
15,06:00,13.0,77.600006,05,29.8,2023-05-15T06:00,2023
15,07:00,13.0,77.600006,05,30.9,2023-05-15T07:00,2023
15,08:00,13.0,77.600006,05,31.6,2023-05-15T08:00,2023
15,09:00,13.0,77.600006,05,31.9,2023-05-15T09:00,2023
15,10:00,13.0,77.600006,05,31.8,2023-05-15T10:00,2023
15,11:00,13.0,77.600006,05,31.4,2023-05-15T11:00,2023
15,12:00,13.0,77.600006,05,30.4,2023-05-15T12:00,2023
15,13:00,13.0,77.600006,05,28.9,2023-05-15T13:00,2023
15,14:00,13.0,77.600006,05,27.2,2023-05-15T14:00,2023
15,15:00,13.0,77.600006,05,25.8,2023-05-15T15:00,2023
15,16:00,13.0,77.600006,05,25.2,2023-05-15T16:00,2023
15,17:00,13.0,77.600006,05,24.4,2023-05-15T17:00,2023
15,18:00,13.0,77.600006,05,23.8,2023-05-15T18:00,2023
15,19:00,13.0,77.600006,05,23.3,2023-05-15T19:00,2023
15,20:00,13.0,77.600006,05,22.6,2023-05-15T20:00,2023
15,21:00,13.0,77.600006,05,22.0,2023-05-15T21:00,2023
15,22:00,13.0,77.600006,05,21.4,2023-05-15T22:00,2023
15,23:00,13.0,77.600006,05,20.9,2023-05-15T23:00,2023
16,00:00,13.0,77.600006,05,20.5,2023-05-16T00:00,2023
16,01:00,13.0,77.600006,05,20.6,2023-05-16T01:00,2023
16,02:00,13.0,77.600006,05,22.8,2023-05-16T02:00,2023
16,03:00,13.0,77.600006,05,25.0,2023-05-16T03:00,2023
16,04:00,13.0,77.600006,05,27.1,2023-05-16T04:00,2023
16,05:00,13.0,77.600006,05,28.9,2023-05-16T05:00,2023
16,06:00,13.0,77.600006,05,30.4,2023-05-16T06:00,2023
16,07:00,13.0,77.600006,05,31.5,2023-05-16T07:00,2023
16,08:00,13.0,77.600006,05,32.0,2023-05-16T08:00,2023
16,09:00,13.0,77.600006,05,32.3,2023-05-16T09:00,2023
16,10:00,13.0,77.600006,05,32.2,2023-05-16T10:00,2023
16,11:00,13.0,77.600006,05,31.9,2023-05-16T11:00,2023
16,12:00,13.0,77.600006,05,30.9,2023-05-16T12:00,2023
16,13:00,13.0,77.600006,05,29.4,2023-05-16T13:00,2023
16,14:00,13.0,77.600006,05,27.8,2023-05-16T14:00,2023
16,15:00,13.0,77.600006,05,26.4,2023-05-16T15:00,2023
16,16:00,13.0,77.600006,05,25.5,2023-05-16T16:00,2023
16,17:00,13.0,77.600006,05,24.7,2023-05-16T17:00,2023
16,18:00,13.0,77.600006,05,24.2,2023-05-16T18:00,2023
16,19:00,13.0,77.600006,05,23.9,2023-05-16T19:00,2023
16,20:00,13.0,77.600006,05,23.5,2023-05-16T20:00,2023
16,21:00,13.0,77.600006,05,23.6,2023-05-16T21:00,2023
16,22:00,13.0,77.600006,05,23.1,2023-05-16T22:00,2023
16,23:00,13.0,77.600006,05,22.6,2023-05-16T23:00,2023
17,00:00,13.0,77.600006,05,22.0,2023-05-17T00:00,2023
17,01:00,13.0,77.600006,05,21.5,2023-05-17T01:00,2023
17,02:00,13.0,77.600006,05,24.1,2023-05-17T02:00,2023
17,03:00,13.0,77.600006,05,26.9,2023-05-17T03:00,2023
17,04:00,13.0,77.600006,05,29.3,2023-05-17T04:00,2023
17,05:00,13.0,77.600006,05,31.0,2023-05-17T05:00,2023
17,06:00,13.0,77.600006,05,32.1,2023-05-17T06:00,2023
17,07:00,13.0,77.600006,05,32.2,2023-05-17T07:00,2023
17,08:00,13.0,77.600006,05,32.9,2023-05-17T08:00,2023
